SMILES,pCHEMBL,Molecular Weight,logP,Data
COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3nc(C)no3)CC12C,7.25,448.47,2.1,COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3nc(C)no3)CC12C
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)cc1,4.97,336.44,3.36,NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)cc1
COC[C@H]1CCCN1c1cc(NC(=O)NC(C)C)nc(-n2nc(C)cc2C)n1,7.37,387.49,2.42,COC[C@H]1CCCN1c1cc(NC(=O)NC(C)C)nc(-n2nc(C)cc2C)n1
NC(=O)C1CC(=O)NCCCCC(NC(=O)C(N)Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)N1,8.18,699.81,-0.14,NC(=O)C1CC(=O)NCCCCC(NC(=O)C(N)Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)N1
CCN(CC)C(=O)c1ccc(C(c2ccc3cc[nH]c3c2)N2CCNCC2)cc1,5.4,390.53,3.64,CCN(CC)C(=O)c1ccc(C(c2ccc3cc[nH]c3c2)N2CCNCC2)cc1
Cc1ccc(-c2nc(NC(=O)C3CC3)cnc2-c2ccncc2)o1,8.92,320.35,3.46,Cc1ccc(-c2nc(NC(=O)C3CC3)cnc2-c2ccncc2)o1
Cc1cc(O)cc(C)c1CC(N)C(=O)N1CCN(CCCCCc2ccccc2)CC1,6.18,423.6,3.44,Cc1cc(O)cc(C)c1CC(N)C(=O)N1CCN(CCCCCc2ccccc2)CC1
NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,4.75,337.42,2.75,NC(=O)c1cncc(OC2CC3CCC(C2)N3Cc2ccccc2)c1
COCCOCCOCCOC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3C)C1O5,5.38,449.54,1.24,COCCOCCOCCOC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3C)C1O5
COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(C(=O)c3cccc(OC)c3)CC12C,6.54,500.54,2.93,COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(C(=O)c3cccc(OC)c3)CC12C
COC12CCC3(CC1CNS(=O)(=O)c1ccccc1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,10.1,536.69,3.6,COC12CCC3(CC1CNS(=O)(=O)c1ccccc1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5
CCCn1c(=O)c2c(nc(Cc3ccco3)n2C)n(Cc2ccco2)c1=O,6.51,368.39,2.13,CCCn1c(=O)c2c(nc(Cc3ccco3)n2C)n(Cc2ccco2)c1=O
O=C(OCc1cccnc1)N1CCC2(CC1)C(=O)NCN2c1ccccc1,5.45,366.42,2.15,O=C(OCc1cccnc1)N1CCC2(CC1)C(=O)NCN2c1ccccc1
COc1cccc(-c2c(C#N)c(N)nc(SCc3ncc[nH]3)c2C#N)c1,6.98,362.42,3.10,COc1cccc(-c2c(C#N)c(N)nc(SCc3ncc[nH]3)c2C#N)c1
CC(=N)NCCc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CCN2CC1CC1)C3O5,9.54,498.63,3.7,CC(=N)NCCc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CCN2CC1CC1)C3O5
N#Cc1nc2ccccc2n(C2CCN(C3CCCCCCC3)CC2)c1=O,6.27,364.49,4.02,N#Cc1nc2ccccc2n(C2CCN(C3CCCCCCC3)CC2)c1=O
Cc1cc(C)cc(-c2nc(Nc3ccc(Cl)cc3F)c3ncn([C@@H]4O[C@H](Cn5nc(C)cc5C)[C@@H](O)[C@H]4O)c3n2)c1,5.37,578.05,4.78,Cc1cc(C)cc(-c2nc(Nc3ccc(Cl)cc3F)c3ncn([C@@H]4O[C@H](Cn5nc(C)cc5C)[C@@H](O)[C@H]4O)c3n2)c1
C[C@H](O)CCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,7.72,288.32,-0.16,C[C@H](O)CCc1nc(N)c2nc(-n3nccn3)n(C)c2n1
CCc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1,5.95,493.67,4.37,CCc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1
CCCn1cnc2c(N)ncnc21,5.02,177.21,0.82,CCCn1cnc2c(N)ncnc21
COC12CCC3(CC1CNC(=O)C(N)CO)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,9.74,483.61,1.05,COC12CCC3(CC1CNC(=O)C(N)CO)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5
COc1ccc2c3c1OC1C4(OC)CCC5(CC4COC(=O)C(N)CO)C(C2)N(CC2CC2)CCC315,6.22,498.62,1.78,COc1ccc2c3c1OC1C4(OC)CCC5(CC4COC(=O)C(N)CO)C(C2)N(CC2CC2)CCC315
COCCOCOC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,6.5,478.54,3.07,COCCOCOC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O
CCNC(=O)[C@H]1S[C@@H](n2cnc3c(NCc4ccccc4C)nc(Cl)nc32)[C@H](O)[C@@H]1O,6.37,462.96,1.87,CCNC(=O)[C@H]1S[C@@H](n2cnc3c(NCc4ccccc4C)nc(Cl)nc32)[C@H](O)[C@@H]1O
Cc1ccccc1CO[C@@H]1CCCC1Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.47,455.52,1.30,Cc1ccccc1CO[C@@H]1CCCC1Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Ic1ccc(CN(Cc2ccc(I)cc2)c2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1,7.8,742.53,8.96,Ic1ccc(CN(Cc2ccc(I)cc2)c2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1
CCOC(=O)c1nc2ccccc2n(C2CCN(C3CCCCCCC3)CC2)c1=O,6.85,411.55,4.32,CCOC(=O)c1nc2ccccc2n(C2CCN(C3CCCCCCC3)CC2)c1=O
CCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,8.72,269.27,1.34,CCn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1
CCCCOC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,7.45,446.54,4.25,CCCCOC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.1,416.14,6.45,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
Cc1ccc(C(=O)NCC2c3ccccc3CCN2C)cc1,6.85,294.4,2.95,Cc1ccc(C(=O)NCC2c3ccccc3CCN2C)cc1
CC1(C)CCC(N2CCC3(CC2)C(=O)NCN3c2ccccc2)c2ccc(F)cc21,6.77,407.53,4.37,CC1(C)CCC(N2CCC3(CC2)C(=O)NCN3c2ccccc2)c2ccc(F)cc21
CN(C)c1ccc(S(=O)(=O)N2CCC34c5c6ccc(O)c5OC3C(N(C)C(=O)C=Cc3ccoc3)CCC4(O)C2C6)cc1.CS(=O)(=O)O,6.7,701.82,3.13,CN(C)c1ccc(S(=O)(=O)N2CCC34c5c6ccc(O)c5OC3C(N(C)C(=O)C=Cc3ccoc3)CCC4(O)C2C6)cc1.CS(=O)(=O)O
O=C(O)c1nc2ccccc2n(C2CC3CCCC(C2)N3C23CCCC(CCC2)C3)c1=O,5.54,435.57,4.77,O=C(O)c1nc2ccccc2n(C2CC3CCCC(C2)N3C23CCCC(CCC2)C3)c1=O
Nc1nc(-c2ccco2)c2ncn(Cc3ccccc3CS(=O)(=O)c3ccccc3)c2n1,8.51,445.5,3.69,Nc1nc(-c2ccco2)c2ncn(Cc3ccccc3CS(=O)(=O)c3ccccc3)c2n1
O=C(c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1)N1Cc2ccccc2C1,6.05,422.53,4.79,O=C(c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1)N1Cc2ccccc2C1
O=S(=O)(c1cccnc1-c1ccc(CN2CC3CCCC2C3)cc1)N1CCCC1,7.58,411.57,3.91,O=S(=O)(c1cccnc1-c1ccc(CN2CC3CCCC2C3)cc1)N1CCCC1
COC12CCC3(CC1C(C)(O)CCC(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,9.82,481.68,4.8,COC12CCC3(CC1C(C)(O)CCC(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5
Nc1nc2c(cnn2CCCc2ccccc2)c2nc(-c3ccco3)nn12,8.92,359.39,2.95,Nc1nc2c(cnn2CCCc2ccccc2)c2nc(-c3ccco3)nn12
CC(=O)NCCn1cc(CCCCC(=O)NCCNC(=O)COc2ccc(CCCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2)nn1,6.66,711.79,1.70,CC(=O)NCCn1cc(CCCCC(=O)NCCNC(=O)COc2ccc(CCCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2)nn1
C=CCN1CC(C)N(C(c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)CC1C,5.61,449.64,4.85,C=CCN1CC(C)N(C(c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)CC1C
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)O,6.39,711.82,-1.62,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)O
Cc1ccc(-c2nc3c(N)cc(C(=O)N4CCCC4)cn3n2)o1,7.12,311.35,2.12,Cc1ccc(-c2nc3c(N)cc(C(=O)N4CCCC4)cn3n2)o1
Cc1ccc(S(=O)(=O)Nc2cccc3cccnc23)c([N+](=O)[O-])c1,5.26,343.36,3.25,Cc1ccc(S(=O)(=O)Nc2cccc3cccnc23)c([N+](=O)[O-])c1
O=C(/C=C/c1c(-c2ccccc2)nn2ccccc12)N1CCCC[C@@H]1CCO,4.95,375.47,3.78,O=C(/C=C/c1c(-c2ccccc2)nn2ccccc12)N1CCCC[C@@H]1CCO
CCc1nc(C(=O)c2ccc(C)s2)c2sccc2n1,5.41,288.4,3.85,CCc1nc(C(=O)c2ccc(C)s2)c2sccc2n1
CC(=O)OC1CC(C(=O)NC(C)C(=O)OCc2ccccc2)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,7.33,579.65,4.08,CC(=O)OC1CC(C(=O)NC(C)C(=O)OCc2ccccc2)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O
COCOC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,7.0,462.5,2.97,COCOC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C
CCc1c(C(=O)NCc2ncccc2C)nc(N)nc1-c1ccc(C)o1,6.74,351.41,2.82,CCc1c(C(=O)NCc2ncccc2C)nc(N)nc1-c1ccc(C)o1
CCC(=O)OC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,6.19,446.5,3.39,CCC(=O)OC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O
CCCC(=O)OC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,8.31,460.52,3.78,CCCC(=O)OC1CC(C(=O)OC)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O
CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1CCNC(=O)c1cccs1,9.15,423.97,4.88,CN1c2ccc(Cl)cc2C(c2ccccc2)=NCC1CCNC(=O)c1cccs1
CC(N)C(=O)N1CCC23CCN(CC4CC4)C(Cc4ccc(O)cc42)C3C1,10.05,369.51,1.87,CC(N)C(=O)N1CCC23CCN(CC4CC4)C(Cc4ccc(O)cc42)C3C1
CCN(CC)CC.CCN(CC)CC.N=c1ccc2c(-c3ccc(C(=O)NCCNC(=O)COc4ccc(CCCn5ncc6c5nc(N)n5nc(-c7ccco7)nc65)cc4)cc3C(=O)O)c3ccc(N)c(S(=O)(=O)O)c3oc-2c1S(=O)(=O)O,7.3,1194.36,3.65,CCN(CC)CC.CCN(CC)CC.N=c1ccc2c(-c3ccc(C(=O)NCCNC(=O)COc4ccc(CCCn5ncc6c5nc(N)n5nc(-c7ccco7)nc65)cc4)cc3C(=O)O)c3ccc(N)c(S(=O)(=O)O)c3oc-2c1S(=O)(=O)O
CN1CCC23CCCCC2C1Cc1cc(CO)c(O)cc13,7.4,287.4,2.57,CN1CCC23CCCCC2C1Cc1cc(CO)c(O)cc13
Nc1nc(Cc2ccccc2)nc2cn(-c3ccccc3)nc12,6.96,301.35,2.99,Nc1nc(Cc2ccccc2)nc2cn(-c3ccccc3)nc12
CC(=O)Nc1cc(-c2cccc(N3CCOCC3)n2)nc(-n2nc(C)cc2C)n1,7.89,393.45,2.14,CC(=O)Nc1cc(-c2cccc(N3CCOCC3)n2)nc(-n2nc(C)cc2C)n1
COc1cccc2c1OC1CCCC3CN(CCc4ccccc4)CCC231,5.94,363.5,4.44,COc1cccc2c1OC1CCCC3CN(CCc4ccccc4)CCC231
CC1CN2CC(C3CCCCC3)NCC2CC1(C)c1cccc(O)c1,8.92,342.53,3.91,CC1CN2CC(C3CCCCC3)NCC2CC1(C)c1cccc(O)c1
OC1(Cc2ccccc2)CCN(C(c2ccccc2)c2ccccc2)CC1,5.84,357.5,4.85,OC1(Cc2ccccc2)CCN(C(c2ccccc2)c2ccccc2)CC1
Nc1sc(-c2ccc(C(=O)NCCCCCCNc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)cc1C(=O)c1ccccc1,6.45,671.78,3.38,Nc1sc(-c2ccc(C(=O)NCCCCCCNc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)cc1C(=O)c1ccccc1
Cc1ccc(C(=O)Nc2nc(-c3ccccc3)c(-c3nc(N)nc(N(C)C)n3)s2)cc1,6.25,431.53,3.87,Cc1ccc(C(=O)Nc2nc(-c3ccccc3)c(-c3nc(N)nc(N(C)C)n3)s2)cc1
Cc1ccc2c(O)cc(-c3cccc(N)c3)nc2n1,5.89,251.29,2.89,Cc1ccc2c(O)cc(-c3cccc(N)c3)nc2n1
COc1ccc2c3c1OC1C4(OC)CCC5(CC4COCc4ccc(C(C)(F)F)cc4)C(C2)[N+](C)(CC2CC2)CCC315,6.95,580.74,6.39,COc1ccc2c3c1OC1C4(OC)CCC5(CC4COCc4ccc(C(C)(F)F)cc4)C(C2)[N+](C)(CC2CC2)CCC315
CN1CCN(C(=O)c2cccc(-c3nc(N)nc(-c4ccccc4O)n3)c2)CC1,7.9,390.45,1.88,CN1CCN(C(=O)c2cccc(-c3nc(N)nc(-c4ccccc4O)n3)c2)CC1
Cc1ccccc1C(C)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,6.07,364.49,4.23,Cc1ccccc1C(C)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,8.04,327.38,1.3,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5
O=c1[nH]c2ccccc2n(C2CCN(Cc3cc4c(cc3Cl)OCO4)CC2)c1=O,7.5,413.86,2.91,O=c1[nH]c2ccccc2n(C2CCN(Cc3cc4c(cc3Cl)OCO4)CC2)c1=O
COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(C(=O)c3cc4ccccc4s3)CC12C,5.04,526.61,4.13,COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(C(=O)c3cc4ccccc4s3)CC12C
CCC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(N)=O,10.23,1361.67,,CCC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(N)=O
COC12CCC3(CC1C(C)(O)c1ccc(C(C)(C)C)cc1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,8.05,543.75,5.82,COC12CCC3(CC1C(C)(O)c1ccc(C(C)(C)C)cc1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5
CCCS(=O)(=O)Nc1ccc(NCC(=O)N(C)C(CN2CCC(O)C2)c2ccccc2)cc1,8.08,474.63,2.52,CCCS(=O)(=O)Nc1ccc(NCC(=O)N(C)C(CN2CCC(O)C2)c2ccccc2)cc1
CN(CC(=O)N(C)C(CN1CCCC1)c1ccccc1)c1ccc(Cl)c(Cl)c1,10.0,420.38,4.73,CN(CC(=O)N(C)C(CN1CCCC1)c1ccccc1)c1ccc(Cl)c(Cl)c1
COC12CCC3(CC1C(C)(O)CCC1CCCC1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,10.57,507.72,5.34,COC12CCC3(CC1C(C)(O)CCC1CCCC1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5
CCCC(C)CN1CCC(c2ccc(C(O)(CC)CC)cc2)(c2cccc(C(N)=O)c2)CC1,7.35,450.67,5.61,CCCC(C)CN1CCC(c2ccc(C(O)(CC)CC)cc2)(c2cccc(C(N)=O)c2)CC1
O=C(Nc1cccc(Cl)c1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,8.02,439.26,5.49,O=C(Nc1cccc(Cl)c1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
CCOC(=O)CCCOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1,7.3,451.49,2.74,CCOC(=O)CCCOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1
NCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,5.51,323.31,-2.90,NCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
O=C(c1cnccn1)N(Cc1ccco1)C1(C(=O)NC2CCCCC2)CCCCC1,5.88,410.52,3.86,O=C(c1cnccn1)N(Cc1ccco1)C1(C(=O)NC2CCCCC2)CCCCC1
CCCOc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,7.93,417.47,3.74,CCCOc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1
O=C(Nc1c(F)cccc1F)C(c1ccccc1)N1CCC(O)(c2ccccc2)CC1,5.36,422.48,4.63,O=C(Nc1c(F)cccc1F)C(c1ccccc1)N1CCC(O)(c2ccccc2)CC1
O=C(Nc1ccc(F)cc1)Nc1ccc(Nc2nc(-c3ccccc3)nc3c2nnn3Cc2ccccc2)cc1,6.78,530.57,6.46,O=C(Nc1ccc(F)cc1)Nc1ccc(Nc2nc(-c3ccccc3)nc3c2nnn3Cc2ccccc2)cc1
Nc1nc2ccccc2n2c(=O)n(-c3cccc(F)c3)nc12,7.14,295.28,1.75,Nc1nc2ccccc2n2c(=O)n(-c3cccc(F)c3)nc12
O=C1NCN(c2ccccc2)C12CCN(C1CCc3c(Cl)ccc(Cl)c3C1)CC2,7.33,430.38,4.28,O=C1NCN(c2ccccc2)C12CCN(C1CCc3c(Cl)ccc(Cl)c3C1)CC2
COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OCCC12C,5.47,366.41,1.67,COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OCCC12C
COc1ccc2c3c1OC1C4(OC)CCC5(CC4COCc4ccc(N(S(C)(=O)=O)S(C)(=O)=O)cc4)C(C2)N(CC2CC2)CCC315,7.69,672.87,3.86,COc1ccc2c3c1OC1C4(OC)CCC5(CC4COCc4ccc(N(S(C)(=O)=O)S(C)(=O)=O)cc4)C(C2)N(CC2CC2)CCC315
CN(C(=O)CNC(=O)c1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1ccccc1,8.44,434.37,4.02,CN(C(=O)CNC(=O)c1ccc(Cl)c(Cl)c1)C(CN1CCCC1)c1ccccc1
COc1ccc2c3c1OC1C4(OC)CCC5(CC4COCc4ccccc4)C(C2)N(CCC(N)=O)CCC315,7.29,518.65,3.6,COc1ccc2c3c1OC1C4(OC)CCC5(CC4COCc4ccccc4)C(C2)N(CCC(N)=O)CCC315
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,7.82,308.3,-1.84,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc(OC)cc5)nc43)[C@H](O)[C@@H]2O)n1,8.85,512.53,-0.57,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc(OC)cc5)nc43)[C@H](O)[C@@H]2O)n1
Cn1c(=O)c2[nH]c(-c3cccc(OCCN4CCCC4)c3)nc2n(C)c1=O,6.4,369.43,1.10,Cn1c(=O)c2[nH]c(-c3cccc(OCCN4CCCC4)c3)nc2n(C)c1=O
C=CCN1CC(C)N(C(c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)CC1C,7.7,435.61,4.54,C=CCN1CC(C)N(C(c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)CC1C
Nc1nc(-c2ccco2)c2nnn(Cc3ccc(N)c(O)c3)c2n1,8.8,323.32,1.40,Nc1nc(-c2ccco2)c2nnn(Cc3ccc(N)c(O)c3)c2n1
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,8.41,383.84,0.84,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21
COCCN(CCc1ccc(F)cc1)c1cc2nc(-c3ccco3)nn2c(N)n1,9.0,396.43,2.80,COCCN(CCc1ccc(F)cc1)c1cc2nc(-c3ccco3)nn2c(N)n1
NC(=O)c1ccc2c(c1)CCCN2c1ccc(CNCCc2cccc(F)c2)cc1,6.1,403.5,4.34,NC(=O)c1ccc2c(c1)CCCN2c1ccc(CNCCc2cccc(F)c2)cc1
N#Cc1c(-c2ccc(Cl)cc2)cc(-c2ccco2)nc1N,6.85,295.73,4.12,N#Cc1c(-c2ccc(Cl)cc2)cc(-c2ccco2)nc1N
CCC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(N)=O,9.13,1361.67,,CCC(C)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(N)=O
CC1CN=C2N1CC(C1CCCCC1)N2CCCC1CCCCC1,5.61,331.55,4.67,CC1CN=C2N1CC(C1CCCCC1)N2CCCC1CCCCC1
COCCOCC(=O)OCC1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,6.68,520.58,3.03,COCCOCC(=O)OCC1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C
O=C(Nc1nc(Cl)c2cn(CCc3ccccc3)nc2n1)c1ccc(F)cc1,5.69,395.83,4.11,O=C(Nc1nc(Cl)c2cn(CCc3ccccc3)nc2n1)c1ccc(F)cc1
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,7.8,308.3,-1.84,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CC(Oc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1)C(=O)N1CCN(c2ccc(Br)cc2)CC1,6.57,566.46,3.11,CC(Oc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1)C(=O)N1CCN(c2ccc(Br)cc2)CC1
COC12CCC3(CC1COCc1cc4ccccc4s1)C1Cc4ccc(O)c5c4C3(CC[N+]1(C)CC1CC1)C2O5,9.11,558.76,6.19,COC12CCC3(CC1COCc1cc4ccccc4s1)C1Cc4ccc(O)c5c4C3(CC[N+]1(C)CC1CC1)C2O5
CNC(=O)OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@](C)(O)[C@@H]1O,4.98,440.89,1.20,CNC(=O)OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@](C)(O)[C@@H]1O
CCC(=O)Nc1cc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1,6.37,339.35,4.44,CCC(=O)Nc1cc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1
COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,8.91,432.47,3.0,COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C
CC(C)C1CCC(N2CCC(N3C(=O)Cc4ccccc43)CC2)CC1,6.43,340.51,4.25,CC(C)C1CCC(N2CCC(N3C(=O)Cc4ccccc43)CC2)CC1
COC(=O)c1cc(Br)cnc1N1CCC(NC2CCCCC2)C(O)C1,7.8,412.33,2.49,COC(=O)c1cc(Br)cnc1N1CCC(NC2CCCCC2)C(O)C1
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,7.8,308.3,-1.84,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,7.04,384.44,2.12,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O
